"Story","Title","Result","Date","Stability","Duration (s)"
"Cart Operations","create a new user and add the product to the cart","ERROR","2022-03-09T20:16:38.9940834-05:00[America/Bogota]","0.0","0.21"
"Cart Operations","the user can create a new account, add a item and verify the item","FAILURE","2022-03-09T23:37:26.3086142-05:00[America/Bogota]","0.0","73.87"
